Day, Number of lecture, Group, Lesson, Type, Prof, Aud
Понеділок, 1, К-15, Алгебра та геометрія, лекція, доц. Рабанович В.І., 43
Понеділок, 1, К-16, Алгебра та геометрія, лекція, доц. Рабанович В.І., 43
Понеділок, 1, К-17, Алгебра та геометрія, лекція, доц. Рабанович В.І., 43
Понеділок, 1, К-18, Вступ до університетських студій, лекція, доц. Набока С.В., 39
Понеділок, 1, К-19, Вступ до університетських студій, лекція, доц. Набока С.В., 39
Понеділок, 2, К-18, Основи програмування, лекція, доц. Іванов Є.О., 221
Понеділок, 2, К-19, Основи програмування, лекція, доц. Іванов Є.О., 221
Понеділок, 2, К-15, Вступ до університетських студій, лекція, доц. Набока С.В., 43
Понеділок, 2, К-16, Вступ до університетських студій, лекція, доц. Набока С.В., 43
Понеділок, 2, К-17, Вступ до університетських студій, лекція, доц. Набока С.В., 43
Понеділок, 3, К-18, Фізичні основи комп"ютерної електроніки, лекція, Клімов О.С., 42
Понеділок, 3, К-19, Фізичні основи комп"ютерної електроніки, лекція, Клімов О.С., 42
Понеділок, 3, К-15, Програмування, лекція, доц. Ставровський Б.А., 43
Понеділок, 3, К-16, Програмування, лекція, доц. Ставровський Б.А., 43
Понеділок, 3, К-17, Програмування, лекція, доц. Ставровський Б.А., 43
Вівторок, 1, К-18, Іноземна мова, практичні, Гончаренко О.А., 9
Вівторок, 1, К-19, Іноземна мова, практичні, Дороніна Н.В., 12
Вівторок, 1, К-15, Математичний аналіз, лекція, доц.Анікушин А.В., 43
Вівторок, 1, К-16, Математичний аналіз, лекція, доц.Анікушин А.В., 43
Вівторок, 1, К-17, Математичний аналіз, лекція, доц.Анікушин А.В., 43
Вівторок, 2, К-15, Алгебра та геометрія, практичні, Руденко О.В., 17
Вівторок, 2, К-16, Програмування, лабораторні, д.Коваль Ю.В., 205
Вівторок, 2, К-17, Дискретна математика, практичні, д.Іванов Є.О., 9
Вівторок, 2, К-18, Дискретна математика, практичні, а.Ліндер Я.М., 10
Вівторок, 2, К-19, Фізичні основи комп"ютерної електроніки, лабораторні, а.Клімов О.С., 305
Вівторок, 3, К-19, Іноземна мова, практичні, Дороніна Н.В., 12
Вівторок, 3, К-17, Алгебра та геометрія, практичні, п.Закусило О.К., 303
Вівторок, 3, К-18, Іноземна мова, практичні, Гончаренко О.А., 8
Вівторок, 3, К-16, Дискретна математика, практичні, а.Ліндер Я.М., 14
Вівторок, 3, К-15, Програмування, лабораторні, д.Коваль Ю.В., 205
Середа, 1, К-15, Математичний аналіз, практичні, д.Анікушин А.В., 14
Середа, 1, К-16, Математичний аналіз, практичні, п.Рубльов Б.В., 13
Середа, 1, К-17, Програмування, лабораторні, а.Коваль Ю.В., 203
Середа, 1, К-18, Основи програмування, лабораторні, а. Ліндер Я.М., 610
Середа, 1, К-19, Дискретна математика, практичні, д.Шевченко В.П., 8
Середа, 2, К-15, Математичний аналіз, лекція, доц.Анікушин А.В., 43
Середа, 2, К-16, Математичний аналіз, лекція, доц.Анікушин А.В., 43
Середа, 2, К-17, Математичний аналіз, лекція, доц.Анікушин А.В., 43
Середа, 2, К-18, Основи програмування, лабораторні, а. Ліндер Я.М., 610
Середа, 2, К-19, Алгебра та геометрія, практичні, д.Самойленко І.В.,14
Середа, 3, К-19, Іноземна мова, практичні, Дороніна Н.В., 12
Середа, 3, К-18, Іноземна мова, практичні, Гончаренко О.А., 9
Середа, 3, К-17, Алгебра та геометрія, практичні, п.Закусило О.К., 33
Середа, 3, К-16, Математичний аналіз, практичні, п.Рубльов Б.В., 302
Середа, 3, К-15, Алгебра та геометрія, практичні, Руденко О.В., 10
Четвер, 1, К-15, Дискретна математика, лекція, доц. Шевченко В.П., 39
Четвер, 1, К-16, Дискретна математика, лекція, доц. Шевченко В.П., 39
Четвер, 1, К-17, Дискретна математика, лекція, доц. Шевченко В.П., 39
Четвер, 1, К-18, Фізичні основи комп"ютерної електроніки, лабораторні, Клімов О.С., 14
Четвер, 1, К-19, Основи програмування, лабораторні, а. Ліндер Я.М., 231
Четвер, 2, К-19, Дискретна математика, лекція, доц. Шевченко В.П., 39
Четвер, 2, К-18, Дискретна математика, лекція, доц. Шевченко В.П., 39
Четвер, 3, К-18, Математичний аналіз, практичні, а.Гуляницький А.Л., 303
Четвер, 3, К-19, Основи програмування, лабораторні, а. Ліндер Я.М., 231
Четвер, 2, К-17, Математичний аналіз, практичні, а.Гуляницький А.Л., 303
Четвер, 2, К-16, Алгебра та геометрія, практичні, д.Довгай Б.В., 18
Четвер, 2, К-15, Дискретна математика, практичні, д.Петрушенко А., 16
Четвер, 3, К-17, Іноземна мова, практичні, Зеліковьска О.О., 10
Четвер, 3, К-15, Іноземна мова, практичні, Слічна В.М., 6
Четвер, 3, К-16, Іноземна мова, практичні, Паламарчук К.М., 8
П'ятниця, 1, К-15, Математичний аналіз, практичні, а.Денисов С., 18
П'ятниця, 1, К-17, атематичний аналіз, практичні, а.Гуляницький А.Л., 33
П'ятниця, 1, К-18, Алгебра та геометрія, лекція, д. Довгай Б.В., 306
П'ятниця, 1, К-19, Алгебра та геометрія, лекція, д. Довгай Б.В., 306
П'ятниця, 2, К-18, Алгебра та геометрія, практичні, д. Довгай Б.В., 14
П'ятниця, 2, К-19, Математичний аналіз, практичні, Аджубей Л.Т., 16
П'ятниця, 2, К-17, Іноземна мова, практичні, Зеліковьска О.О., 10
П'ятниця, 2, К-15, Іноземна мова, практичні, Слічна В.М., 6
П'ятниця, 2, К-16, Іноземна мова, практичні, Паламарчук К.М., 8
П'ятниця, 3, К-19, Математичний аналіз, лекція, Аджубей Л.Т., 40
П'ятниця, 3, К-18, Математичний аналіз, лекція, Аджубей Л.Т., 40
П'ятниця, 3, К-17, Іноземна мова, практичні, Зеліковьска О.О., 10
П'ятниця, 3, К-15, Іноземна мова, практичні, Слічна В.М., 6
П'ятниця, 3, К-16, Іноземна мова, практичні, Паламарчук К.М., 8
