Lesson,Prof,Lecteur
Алгебра та геометрія,Довгай Б.В.,True
Алгебра та геометрія,Рабанович В.І.,True
Вступ до університетських студій,Набока С.В.,True
Дискретна математика,Шевченко В.П.,True
Математичний аналіз,Аджубей Л.Т.,True
Математичний аналіз,Анікушин А.В.,True
Основи програмування,Іванов Є.О.,True
Програмування,Ставровський Б.А.,True
"Фізичні основи комп""ютерної електроніки",Клімов О.С.,True
Іноземна мова,Гончаренко О.А.,False
Іноземна мова,Дороніна Н.В.,False
Іноземна мова,Зеліковьска О.О.,False
Іноземна мова,Паламарчук К.М.,False
Іноземна мова,Слічна В.М.,False
Алгебра та геометрія,Руденко О.В.,False
Алгебра та геометрія,Довгай Б.В.,False
Алгебра та геометрія,Самойленко І.В.,False
Алгебра та геометрія,Закусило О.К.,False
Дискретна математика,Ліндер Я.М.,False
Дискретна математика,Іванов Є.О.,False
Дискретна математика,Петрушенко А.,False
Дискретна математика,Шевченко В.П.,False
Математичний аналіз,Аджубей Л.Т.,False
Математичний аналіз,Гуляницький А.Л.,False
Математичний аналіз,Денисов С.,False
Математичний аналіз,Анікушин А.В.,False
Математичний аналіз,Рубльов Б.В.,False
Основи програмування,Ліндер Я.М.,False
Програмування,Ставровський Б.А.,False
Програмування,Коваль Ю.В.,False
"Фізичні основи комп""ютерної електроніки",Клімов О.С.,False
"Фізичні основи комп""ютерної електроніки",Клімов О.С.,False
Бази даних та інформаційні системи,Кулябко П.П.,True
Бази даних та інформаційні системи,Кулябко П.П.,False
Бази даних та інформаційні системи,Федорус О.П.,False
Бази даних та інформаційні системи,Завадський О.І.,False
Теорія алгоритмів,Шкільняк С.С.,True
Теорія алгоритмів,Шкільняк С.С.,False
Теорія алгоритмів,Криволап А.В.,False
Теорія алгоритмів,Шишацька,False
Математична статистика,Лебедєв Є.О,True
Математична статистика,Макушенко І.А.,False
Математична статистика,Лівінська Г.В.,False
Дослідження операцій,Якимів Р.Я.,True
Дослідження операцій,Іксанов О.М.,False
Дослідження операцій,Юрачківський А.П.,False
Дослідження операцій,Царегородський,False
Дослідження операцій,Мацак І.К.,False
Прикладні алгоритми,Завадський О.І.,True
Алгоритміка,Тарануха В.Ю.,True
Прикладні алгоритми,Завадський О.І.,False
Алгоритміка,Тарануха В.Ю.,False
Інструментальні середовища та технології програмування,Русіна Н.Г.,True
Інструментальні середовища та технології програмування,Русіна Н.Г.,False
Інструментальні середовища та технології програмування,Омельчук Л.Л.,False
Чисельні методи,Кашпур О.Ф.,True
Чисельні методи,Голубєва К.М.,False
Аналіз даних,Слабоспицький О.С.,True
Аналіз даних,Слабоспицький О.С.,False
Алгоритми та складність,Шкільняк О.С.,True
Алгоритми та складність,Верес М.М.,False
Алгоритми та складність,Ліндер Я.М.,False
Основи об'єктно-орієнтованого програмування,Жереб К.А.,True
Основи об'єктно-орієнтованого програмування,Жереб К.А.,False
Основи об'єктно-орієнтованого програмування,Терлецький Д.О.,False
Загальна алгебра,Галкін О.В.,True
Теорія алгоритмів та математична логіка,Провотар О.І.,True
Екологічні та економічні процеси та їх моделювання,Колянова Т.В.,True
Науковий образ світу,Чолій В.Я.,True
